Cut Loose Press Pattern ID,Pattern name,Creative Grids ruler ID,Cut Loose Press pattern URL
CLPKAL007,Fanfare,CGRKA3,https://cutloosepress.com/products/fanfare
CLPKAL007,Fanfare,CGR9,https://cutloosepress.com/products/fanfare
CLPJAW033,Citrus and Berry Table Runner,CGRJAW6,https://cutloosepress.com/products/citrus-and-berry-table-runner
CLPJAW033,Citrus and Berry Table Runner,CGR218,https://cutloosepress.com/products/citrus-and-berry-table-runner
CLPJAW016,Upstairs Downstairs Log Cabin,CGRJAW1,https://cutloosepress.com/products/upstairs-downstairs-log-cabin
CLPASM009,Fractured Waterfall,NONE,https://cutloosepress.com/products/fractured-waterfall
CLPTQF001,Vinyl Mesh Market Bag,NONE,https://cutloosepress.com/products/vinyl-mesh-market-bag
CLPDHE009,Little Logs Starburst,CGRJAWMN4,https://cutloosepress.com/products/little-logs-starburst
CLPDHE009,Little Logs Starburst,CGRDH2,https://cutloosepress.com/products/little-logs-starburst
CLPKSE002,Hot Cross Stars,CGRDBS90,https://cutloosepress.com/products/hot-cross-stars
CLPKSE002,Hot Cross Stars,CGRABB1,https://cutloosepress.com/products/hot-cross-stars
CLPPHA013,You've Got Mail,CGRJAW1,https://cutloosepress.com/products/youve-got-mail
CLPCMC002,Faultline,CGRGE1,https://cutloosepress.com/products/faultline
CLPCFR001,Gift Bag Tote,NONE,https://cutloosepress.com/products/gift-bag-tote
CLPEUN003,Super Simple Table Topper,CGREU1,https://cutloosepress.com/products/super-simple-table-topper
CLPEUN003,Super Simple Table Topper,CGRABB1,https://cutloosepress.com/products/super-simple-table-topper
CLPJAW025,Trim the Tree,CGRJAW5,https://cutloosepress.com/products/trim-the-tree
CLPJAW025,Trim the Tree,CGRJAW1,https://cutloosepress.com/products/trim-the-tree
CLPCHP001,Square Dance,CGRCP1,https://cutloosepress.com/products/square-dance
CLPCHP001,Square Dance,CGRPERF10,https://cutloosepress.com/products/square-dance
CLPLME001,Clam Shell All Around,NONE,https://cutloosepress.com/products/clam-shell-all-around
CLPHPR004,Around the Square Mini Quilt,CGRDH1,https://cutloosepress.com/products/around-the-square-mini-quilt
CLPHPR004,Around the Square Mini Quilt,CGR2,https://cutloosepress.com/products/around-the-square-mini-quilt
CLPISE021,Wayside,CGRPERF5,https://cutloosepress.com/products/wayside
CLPCLA036,Sew Strippy Tote,CGR20,https://cutloosepress.com/products/sew-strippy-tote
CLPSKW001,Dancing Churndash,NONE,https://cutloosepress.com/products/dancing-churndash
CLPJAW062,Yin and Yang Pillow Pair,CGRJAW6MINI,https://cutloosepress.com/products/yin-and-yang-pillow-pair
CLPJAW062,Yin and Yang Pillow Pair,CGRPRG1,https://cutloosepress.com/products/yin-and-yang-pillow-pair
CLPRGR002,Log Cabin Tree,CGRJAWMN6,https://cutloosepress.com/products/log-cabin-tree
CLPCLA014,Trendsetter Tote,CGR612,https://cutloosepress.com/products/trendsetter-tote
CLPKMS004,Twirl N Spin Table Runner,CGR60DIA,https://cutloosepress.com/products/twirl-n-spin-table-runner
CLPCLA029,Love Knot Table Runner,CGR8,https://cutloosepress.com/products/love-knot-table-runner
CLPJAW041,Sew Many Snails,CGRJAW8,https://cutloosepress.com/products/sew-many-snails
CLPISE007,Bumpy Chevron Quilt,CGRT45,https://cutloosepress.com/products/bumpy-chevron-quilt
CLPISE007,Bumpy Chevron Quilt,CGR18,https://cutloosepress.com/products/bumpy-chevron-quilt
CLPMTR010,Forest For All Seasons Placemats,CGRTKAL45,https://cutloosepress.com/products/forest-for-all-seasons-placemats
CLPJAW047,Petite Pineapple Garden,CGRJAW3MINI,https://cutloosepress.com/products/petite-pineapple-garden
CLPASM001,Creative Cross-Body Bag,NONE,https://cutloosepress.com/products/creative-cross-body-bag
CLPDHE010,Simplicity,CGRDH3,https://cutloosepress.com/products/simplicity
CLPKAL002,Twirl,CGRKA3,https://cutloosepress.com/products/twirl
CLPKAL002,Twirl,CGR9,https://cutloosepress.com/products/twirl
CLPDHE020,On Point Runner,CGRJAW3,https://cutloosepress.com/products/on-point-runner
CLPLCR005,Ms. Stasha B. Gone,CGR15,https://cutloosepress.com/products/ms-stasha-b-gone
CLPJAW023,Zen Table Runner,CGRJAW5,https://cutloosepress.com/products/zen-table-runner
CLPCLA027,Marvelous Midi Messenger Bag,CGRCCC,https://cutloosepress.com/products/marvelous-midi-messenger-bag
CLPJAW063,Little Runaway Pinwheels,CGRJAW6MINI,https://cutloosepress.com/products/little-runaway-pinwheels
CLPJAW063,Little Runaway Pinwheels,CGRPRG1,https://cutloosepress.com/products/little-runaway-pinwheels
CLPSBS001,Blushin' Bunnies,NONE,https://cutloosepress.com/products/blushin-bunnies
CLPTAK001,Orange Peel Table Runner,CGRATK1,https://cutloosepress.com/products/orange-peel-table-runner
CLPTAK001,Orange Peel Table Runner,CGR812,https://cutloosepress.com/products/orange-peel-table-runner
CLPBHE003,Tidepools,CGRBH1,https://cutloosepress.com/products/tidepools
CLPPHA010,Log Cabin Nights,CGRJAWMN6,https://cutloosepress.com/products/log-cabin-nights
CLPPHA010,Log Cabin Nights,CGRDH2,https://cutloosepress.com/products/log-cabin-nights
CLPCLA040,Quick Quilter's Apron,CGR24,https://cutloosepress.com/products/quick-quilters-apron
CLPJAW028,Wiggly Worms Log Cabin,CGRJAW6,https://cutloosepress.com/products/wiggly-worms-log-cabin
CLPBGR008,Holiday Tree Wreath Ornament,NONE,https://cutloosepress.com/products/holiday-tree-wreath-ornament
CLPGRG006,Blooming Cabin Mini,CGRJAWMN4,https://cutloosepress.com/products/blooming-cabin-mini
CLPKAL009,Crazy Christmas Trees,CGRKA6,https://cutloosepress.com/products/crazy-christmas-trees
CLPRAN002,Pig Pincushion,NONE,https://cutloosepress.com/products/pig-pincushion
CLPLDB007,Hootie,CGRJAW6MINI,https://cutloosepress.com/products/hootie
CLPLDB007,Hootie,CGRJAWMN4,https://cutloosepress.com/products/hootie
CLPCVB002,Emerald City,CGRMT6,https://cutloosepress.com/products/emerald-city
CLPJAW035,Pineapple Rings,CGRJAW3,https://cutloosepress.com/products/pineapple-rings
CLPJAW035,Pineapple Rings,CGR218,https://cutloosepress.com/products/pineapple-rings
CLPISE016,Square One,CGRPERF10,https://cutloosepress.com/products/square-one
CLPSTG001,Zip N' Dash Tote,NONE,https://cutloosepress.com/products/zip-n-dash-tote
CLPSHN002,Triangle Tree,CGRSG1,https://cutloosepress.com/products/triangle-tree
CLPCLA005,Fabulous Strip Table Runner,CGR5,https://cutloosepress.com/products/fabulous-strip-table-runner
CLPDHE021,Pineapple Pinwheels Runner,CGRJAW3,https://cutloosepress.com/products/pineapple-pinwheels-runner
CLPPHA015,Hearts on the Half Square Quilt,CGRBH,https://cutloosepress.com/products/hearts-on-the-half-square-quilt
CLPPHA015,Hearts on the Half Square Quilt,CGRSMN15,https://cutloosepress.com/products/hearts-on-the-half-square-quilt
CLPDHE029,Blue Skies and Sunshine Runner,CGRDH1XL,https://cutloosepress.com/products/blue-skies-and-sunshine-runner
CLPCTD001,Nesting Bowls,NONE,https://cutloosepress.com/products/nesting-bowls
CLPKHL004,Stained Glass Placemats,NONE,https://cutloosepress.com/products/stained-glass-placemats
CLPCAM009,Rising Star,CGRJAW1,https://cutloosepress.com/products/rising-star
CLPEMC002,Star Petal Table Topper,CGREU2,https://cutloosepress.com/products/star-petal-table-topper
CLPJAW014,I Spy Hexie,CGRJAW4,https://cutloosepress.com/products/i-spy-hexie
CLPCLA054,All Squared Up Table Runner,CGR9,https://cutloosepress.com/products/all-squared-up-table-runner
CLPBLC001,Sunflower Wool Pin Cushion,NONE,https://cutloosepress.com/products/sunflower-wool-pin-cushion
CLPCAM015,Rolling Stone Runner,CGRJAW8,https://cutloosepress.com/products/rolling-stone-runner
CLPCAM015,Rolling Stone Runner,CGR418,https://cutloosepress.com/products/rolling-stone-runner
CLPDHE030,Illusionary Runner,CGRDH1XL,https://cutloosepress.com/products/illusionary-runner
CLPDHE030,Illusionary Runner,CGRDH4,https://cutloosepress.com/products/illusionary-runner
CLPSGD006,Tree Hugger Pillow,CGRSG1,https://cutloosepress.com/products/tree-hugger-pillow
CLPTFA002,Surprise Party Quilt,CGRDH1XL,https://cutloosepress.com/products/surprise-party-quilt
CLPTFA003,Double Strip Constellation Quilt,CGRDBS90,https://cutloosepress.com/products/double-strip-constellation-quilt
CLPTFA003,Double Strip Constellation Quilt,CGR24,https://cutloosepress.com/products/double-strip-constellation-quilt
CLPJAW056,Bon Appetit Collection,CGRJAW8,https://cutloosepress.com/products/bon-appetit-collection
CLPDHE007,Ally-Oop,CGRATK1,https://cutloosepress.com/products/ally-oop
CLPGER010,Sara,CGRGE1XL,https://cutloosepress.com/products/sara
